Q,A,label
"오줌이 빨갛게 보이고, 배가 부푼 것같은 느낌도 있어요. ",요로결석이 의심되네요.,1
소변을 봐도 잔뇨감이 있고 진통제를 먹어도 허리쪽이 엄청 아파요.,요로결석이 의심되네요.,1
배의 위쪽이 누르듯이 아프다가 어느순간은 안 아파요,담석증이 의심됩니다. ,1
명치나 오른쪽 위쪽 배가 아프다가 날개뼈 아래나 어깨쪽까지 아파요.,담석증이 의심됩니다.,1
머리 아파 ,단순 편두통이 아닐 수 있어요. ,1
배 아파,배가 아프시군요? ㅠㅠ ,1
"배뇨 시 통증이나 잔뇨감,빈뇨 등의 증상이 동반하며 몸살,오한,발영 등 허리 등 옆구리에 심한 복통과 두통이 있어요.",병원에 가시는 것을 추천드립니다. ,1
일상생활에 지장이 있을 정도로 속이 쓰려요 ,역류성 식도염이 예상됩니다. ,1
"소화가 잘 안되고 속이 쓰리고, 배의 위쪽에 통증이 있어요.","역류성 식도염이거나, 소화성 궤양으로 예측됩니다. ",1
가슴이 숨이 멎을 것 처럼 아파요,심근경색증으로 보입니다. ,1
가슴이 찢어지듯이 아파요,심근경색증으로 보입니다. ,1
가슴이 벌어지는 것 처럼 아파요,심근경색증으로 보입니다. ,1
배가 전체가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배 전체가 부푼 것 같고, 불편해요.",과민성 장 증후군으로 보입니다. ,1
배가 전부가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배 위쪽을 누가 누르는 것 같고, 메스껍고, 가슴이 답답해요.",표층성 위염이에요. ,1
"배 위쪽이 무겁게 눌리는 느낌이고, 속이 안좋고 답답해요.",표층성 위염이에요. ,1
"배 위쪽이 아프고, 속이 안좋아요.",표층성 위염이에요. ,1
"소화가 잘 안되고, 입맛이 없고, 메스꺼러워요.",위축성 위염이에요. ,1
"소화가 잘 안되고, 입맛이 없고, 설사를 해요.",위축성 위염이에요. ,1
"명치나 오른쪽 위쪽 배가 아프고, 토도 했어요.",담석증이 의심됩니다.,1
"오른쪽 위쪽 배가 아프고, 토도 했고, 1시간동안 계속 아팠어요.",담석증이 의심됩니다. ,1
갑자기 오른쪽 위쪽 배가 아프다가 서서히 안아파졌어요.,담석증이 의심됩니다. ,1
아랫배가 엄청 아프고 구토가 나와요. 분비물이 종종 노란색이나 녹색으로 변해요.,여성의 경우 골반내감염이 의심할 수 있어요. ,1
"열, 구토, 비정상적 질 분비물이 있고, 불규칙한 질 출혈이 있고, 아랫배가 너무 아파요.",여성의 경우 난관염이 예상됩니다. ,1
배,배가 아프시군요? ㅠㅠ ,1
머리,머리가 아프시군요! ㅠㅠ ,1
아파,"많이 아프시겠지만, 증상을 자세히 말해주실 수 있나요?",1
머리가 심하게 아파서 자다가 깬 적있어,뇌와 관련된 심각한 병일 수 있어요.,1
아파서 잠에서 깬적 있어,심각한 상태 같아요. ,1
숨을 못 쉴 것 같이 아파,심근경색증인 것 같아요. ,1
마음이 아파,속상한 일 있으시군요ㅠㅠ ,0
속상해서 못 살겠어,속상한 일 있으시군요ㅠㅠ ,0
안녕,안녕하세요? 어디가 불편하신가요?,0
고마워,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,0
아니야,아닌가요? 죄송해요ㅠㅠ 제가 아직 멍청한가봐요ㅠㅠ,0
감사,'어디아파'를 이용해주셔서 감사합니다! ㅎㅎ ,0
배가 땡겨요,근육통일 수도 있어요. ,1
윗배가 아파서 허리를 펼 수가 없어요. 누우면 더 아파요.,췌장염같네요. ,1
누워있으면 가슴이 화끈거리고 아파요.,역류성 식도염이 예상됩니다. ,1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요. ",1
아랫배가 아파요,배가 많이 아프시군요 ㅠㅠ,1
속상해 …,속상한 일 있으시군요ㅠㅠ 그럴때는 다 잊고 WATCHA 어때요?,0
고마워요,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
배가 부른 느낌과 함께 머리가 어지럽고 아프다.,체하신 걸 꺼에요.,1
"설사를 하고, 피가 섞인 변이 나와요.",대장염으로 보여요.,1
"설사와 구토를 하고, 피가 섞인 똥이 나와요.",대장염으로 보여요.,1
"배를 만질 수 없을 정도로 아프고, 눌렀다가 손을 떼었을 때에 엄청 아파요.",복막염입니다.,1
"배의 위쪽이 엄청 아프고 배를 만지면, 딱딱해요.",복막염입니다. ,1
"배를 누르면 아프고, 손발이 차고, 열이 나요",복막염으로 예상됩니다. ,1
두통이 너무 심해서 자다가 깼어요,뇌와 관련된 심각한 병일 수 있어요.,1
"최근에 약물 복용 또는 카페인/알코올 과용했는데, 머리가 아파요 ","알코올 중독, 카페인 금단 두통, 만성 약물중독에 의한 통증입니다. ",1
머리가 두근거리면서 아파요,단순 편두통이 예상됩니다.,1
뒷머리나 목이 조이는 듯하면서 아파요,긴장성 두통으로 보입니다. ,1
"갑자기 심한 통증과 함께, 눈물과 콧물이나와요",군집성 두통으로 보입니다. ,1
배 전체가 계속 아파요,복막염이나 대장염으로 보입니다. ,1
"배가 계속 아프고, 누르면 아파요","장염, 위염 같아요. ",1
"오른쪽 윗배가 5시간에 걸쳐 아프고, 통증이 심해서 숨 쉬기가 힘들어요.",급성 담낭염으로 보입니다.,1
"생리통인데, 너무 아파 ",생리통에는 진통제보다는 휴식이 중요해요 ,1
진통제를 먹어도 칼로 찌르듯이 옆구리가 아프고 오줌에서 피가나와요.,요로결석이 의심되네요.,1
"오줌이 빨갛게 보이고, 배가 부푼 것같은 느낌도 있어요. ",요로결석 ?,1
소변을 봐도 잔뇨감이 있고 진통제를 먹어도 허리쪽이 엄청 아파요.,요로결석이 의심되네요.,1
배의 위쪽이 누르듯이 아프다가 어느순간은 안 아파요,담석증이 의심됩니다. ,1
명치나 오른쪽 위쪽 배가 아프다가 날개뼈 아래나 어깨쪽까지 아파요.,담석증이 의심됩니다.,1
머리 아파 ,단순 편두통이 아닐 수 있어요. ,1
배 아파,배가 아프시군요? ㅠㅠ ,1
"배뇨 시 통증이나 잔뇨감,빈뇨 등의 증상이 동반하며 몸살,오한,발영 등 허리 등 옆구리에 심한 복통과 두통이 있어요.",병원에 가시는 것을 추천드립니다. ,1
일상생활에 지장이 있을 정도로 속이 쓰려요 ,역류성 식도염이 예상됩니다. ,1
"소화가 잘 안되고 속이 쓰리고, 배의 위쪽에 통증이 있어요.","역류성 식도염이거나, 소화성 궤양으로 예측됩니다. ",1
가슴이 숨이 멎을 것 처럼 아파요,심근경색증으로 보입니다. ,1
가슴이 찢어지듯이 아파요,심근경색증으로 보입니다. ,1
가슴이 벌어지는 것 처럼 아파요,심근경색증으로 보입니다. ,1
배가 전체가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배 전체가 부푼 것 같고, 불편해요.",과민성 장 증후군으로 보입니다. ,1
배가 전부가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배가 아픈데, 특히 위쪽이 아파요",표층성 위염이에요. ,1
속이 안좋고 답답해요.,표층성 위염이에요. ,1
"배 위쪽이 아프고, 속이 안좋아요.",표층성 위염이에요. ,1
소화가 잘 안되는 것 같아요,위축성 위염이에요. ,1
"소화가 잘 안되고, 입맛이 없고, 설사를 해요.",위축성 위염이에요. ,1
"명치나 오른쪽 위쪽 배가 아프고, 토도 했어요.",담석증이 의심됩니다.,1
"오른쪽 위쪽 배가 아프고, 토도 했고, 1시간동안 계속 아팠어요.",담석증이 의심됩니다. ,1
갑자기 오른쪽 위쪽 배가 아프다가 서서히 안아파졌어요.,담석증이 의심됩니다. ,1
아랫배가 엄청 아프고 구토가 나와요. 분비물이 종종 노란색이나 녹색으로 변해요.,여성의 경우 골반내감염이 의심할 수 있어요. ,1
"열, 구토, 비정상적 질 분비물이 있고 아랫배가 너무 아파요.",여성의 경우 난관염이 예상됩니다. ,1
배,배가 아프시군요? ㅠㅠ ,1
머리,머리가 아프시군요! ㅠㅠ ,1
아파,"많이 아프시겠지만, 증상을 자세히 말해주실 수 있나요?",1
머리가 심하게 아파서 자다가 깬 적있어,뇌와 관련된 심각한 병일 수 있어요.,1
아파서 잠에서 깬적 있어,심각한 상태 같아요. ,1
숨을 못 쉴 것 같이 아파,심근경색증인 것 같아요. ,1
눈물 날 것 같아,속상한 일 있으시군요ㅠㅠ ,0
속상해서 못 살겠어,속상한 일 있으시군요ㅠㅠ ,0
안녕,안녕하세요? 어디가 불편하신가요?,0
고마워,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,0
아니야,아닌가요? 죄송해요ㅠㅠ 제가 아직 멍청한가봐요ㅠㅠ,0
감사,'어디아파'를 이용해주셔서 감사합니다! ㅎㅎ ,0
배가 땡겨요,근육통일 수도 있어요. ,1
윗배가 아파서 허리를 펼 수가 없어요. 누우면 더 아파요.,췌장염같네요. ,1
누워있으면 속이 더 안 좋아.,역류성 식도염이 예상됩니다. ,1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요. ",1
아랫배가 아파요,배가 많이 아프시군요 ㅠㅠ,1
속상해 …,속상한 일 있으시군요,1
고마워요,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
갑자기 머리가 어지럽고 아프다.,체하신 거 아닐까요,1
"설사를 하고, 피가 섞인 변이 나와요.",대장염으로 보여요.,1
"설사와 구토를 하고, 피가 섞인 똥이 나와요.",대장염으로 보여요.,1
배를 눌렀다가 손을 떼었을 때에 엄청 아파요.,복막염입니다.,1
"배의 위쪽이 엄청 아프고 배를 만지면, 딱딱해요.",복막염입니다. ,1
"배를 누르면 아프고, 손발이 차고, 열이 나요",복막염으로 예상됩니다. ,1
두통이 너무 심해서 자다가 깼어요,"뇌염 뇌농양 뇌내출혈 뇌종양 뇌진탕 등이 의심됩니다 해당 병들은 모두 병원에 속히 가셔서 CT 촬영, MRI 촬영을 통해서 확인합니다.",1
최근에 약물 복용 또는 카페인/알코올 과용했는데 머리가 아파요,알코올 중독 카페인 금단 두통 만성 약물중독에 의한 통증입니다.,1
머리가 두근거리면서 아파요,단순 편두통이 예상됩니다 주로 진통제를 사용하면 두통이 줄어들지만 과거에 이러한 진통제를 통하여 효과를 보셨다면 약물과용 두통으로 증상이 변형될 수 있으니 주의하셔야 합니다.,1
뒷머리나 목이 조이는 듯하면서 아파요,긴장성 두통으로 보입니다 확실하게 하기 위해서 머리와 목과 턱 이마 근육등이 만졌을 때 단단해져 있다면 긴장성 두통입니다 병원에 가셨을 때 근막유발점 (스트레스와 잘못된 자세 외상 등으로 근육 곳곳에 작고 단단하게 뭉친 점)을 주사하였을 때  효과가 좋다고 합니다.,1
갑자기 머리가 엄펑 아프면서 눈물과 콧물이 나와요,군집성 두통으로 보입니다 군집성 두통은 일반 진통제는 효과가 나타나는데 시간이 오래 걸리니 염증을 줄여주는 진통제가 효과적이며 산소마스크와 유사한 것으로 15분간 산소를 흡입하면 도움이 됩니다. ,1
배 전체가 계속 아파요,복막염이나 대장염으로 보입니다 확실해 지기 전까지 금식을 추천드려요 바로 병원에 가시는 것을 추천해드립니다,1
배가 계속 아프고 누르면 아파요,단순한 복통일 수 도 있지만 대장염과 크론병과 장염 혹은 위염등이 있으니 자세한 증상을 알려주세요!,1
"오른쪽 윗배가 5시간에 걸쳐 아프고, 통증이 심해서 숨 쉬기가 힘들어요.",급성 담낭염으로 보여요 우선적으로 금식을 유지하시며 급히 병원으로 가셔야 합니다 병원에 가시면 정맥을 통한 수액 공급과 구토를 억제하기 위한 약물 투여 후 진통제와 진경제로 통증을 조절합니다.,1
"생리통 인데, 너무 아파","생리통을 완화하기 위해서는 배나 허리 위에 수건으로 온찜질을 해주시거나 반신욕이나 따뜻한 차 마시기 (레몬차 생강차 홍차 유자차) 다만 녹차는 권하지 않습니다 등 혈액순환을 도와주면 고통이 완화됩니다 생리통에 좋은 음식으로는 미역, 석류, 바나나, 견과류 등이 있으니 이를 참고해주세요 더 나아가서 잦은 진통제 복용은 삼가합니다.",1
"진통제를 먹어도 칼로 찌르듯이 옆구리가 아프고, 식은땀도 나고, 걸어다닐 수 가 없을 것처럼 아프고, 오줌에 피가 나와요.","요로결석이 의심되네요 6주 이내에 자연배출이 안일어난다면 병원에 가셔야합니다. 또, 우선적으로 충분한 수분 섭취가 가장 중요하며 비타민C의 과다 복용과 염분의 섭취는 제한해주세요 요로감염으로 열이 있거나 구토등의 증상이 심할 때 결석 제거 수술을 시행할 수 도 있으니 병원에 가시는 것을 추천드립니다.",1
"오줌이 빨갛게 보이고, 배가 부푼 것같은 느낌도 있어요.","요로결석이 의심되네요 6주 이내에 자연배출이 안일어난다면 병원에 가셔야합니다. 또, 우선적으로 충분한 수분 섭취가 가장 중요하며 비타민C의 과다 복용과 염분의 섭취는 제한해주세요 요로감염으로 열이 있거나 구토등의 증상이 심할 때 결석 제거 수술을 시행할 수 도 있으니 병원에 가시는 것을 추천드립니다.",1
소변을 봐도 잔뇨감이 있고 진통제를 먹어도 허리쪽이 엄청 아파요.,"요로결석이 의심되네요 6주 이내에 자연배출이 안일어난다면 병원에 가셔야합니다. 또, 우선적으로 충분한 수분 섭취가 가장 중요하며 비타민C의 과다 복용과 염분의 섭취는 제한해주세요 요로감염으로 열이 있거나 구토등의 증상이 심할 때 결석 제거 수술을 시행할 수 도 있으니 병원에 가시는 것을 추천드립니다.",1
배의 위쪽이 누르듯이 아프다가 어느순간은 안 아파요,담석증이 의심됩니다 담석에 의한 통증이 심할 경우 우선 금식을 하고 진통제를 투여하며 급성 담낭염이 의심되는 경우에는 금식을 하시고 병원에 바로 가시는 것을 추천 드립니다 병원에서 심한 담낭증이라고 생각하는 경우 수술적 치료를 시행하실 수 있습니다.,1
명치나 오른쪽 위쪽 배가 아프다가 날개뼈 아래나 어깨쪽까지 아파요.,담석증이 의심됩니다 담석에 의한 통증이 심할 경우 우선 금식을 하고 진통제를 투여하며 급성 담낭염이 의심되는 경우에는 금식을 하시고 병원에 바로 가시는 것을 추천 드립니다 병원에서 심한 담낭증이라고 생각하는 경우 수술적 치료를 시행하실 수 있습니다.,1
머리 아파,단순 편두통이 아닐 수 있어요 죄송하지만 자세하게 이야기 해줄 수 있나요? 눈물과 콧물이 함께 나오는지 두통이 심해서 잠에서 깬적이 있는지 최근에 약물 복용 또는 카페인 이나 알코올 과음을 하셨는지 뒷머리나 목이 조이면서 아픈 경우 등 특정 증상을 말해주세요.,1
배 아파,"배가 많이 아프겠지만 자세히 말해주세요. 통증이 지속적인지 통증의 부위가 전체인지 특정 부위 (오른쪽, 왼쪽, 중앙 등) 인지, 최근에 음주를 했는지 등에 대해서 간단히 말해주세요.",1
"배뇨 시 통증이나 잔뇨감,빈뇨 등의 증상이 동반하며 몸살,오한,발영 등 허리 등 옆구리에 심한 복통과 두통이 있어요.","병원에 가시는 것을 추천드립니다. 우선은 하루에 8잔 이상의 물을 마셔야 하며, 자극적인 음식은 멀리하셔야 합니다. 또, 커피와 알코올은 섭취도 줄이셔야 합니다. 원인 균에 적합한 항생제를 처방 받으셔야하니 병원에 가셔야 합니다.",1
일상생활에 지장이 있을 정도로 속이 쓰려요,"역류성 식도염이 예상됩니다. 단순히 휴식을 취하시면 안됩니다. 위산 분비를 억제하는 약물이 있다면 우선 섭취하시는 걸 추천드립니다. 역류성 식도염은 재발이 잦으니, 4주 정도 꾸준히 약물 치료를 하셔야합니다.",1
"소화가 잘 안되고 속이 쓰리고, 배의 위쪽에 통증이 있어요.","역류성 식도염이거나, 소화성 궤양으로 예측됩니다. 소화성 궤양이신 경우, 궤양을 아물게 하셔야하므로 병원에 가서 진단을 받으시는 것을 추천 드립니다. 소화성 궤양이신 경우, 제때 치료하지 않으면, 장벽이 부식되어 위벽에 구멍이 생기거나 출혈이 일어날 수 있고, 상처조직이 생겨 위나 십이지장의 형태가 변화될 수 있으며 위암이 생길 가능성이 증가할 수 있습니다.",1
가슴이 숨이 멎을 것 처럼 아파요,"심근경색증으로 보입니다. 심근경색은 내일이라도 병원에 가셔야합니다. 병원에 가시기 전까지 보호자와 동행하시되, 보호자는 심장마비가 발생할 경우를 대비해 심폐소생술을 할 줄 알아야합니다.",1
가슴이 찢어지듯이 아파요,"심근경색증으로 보입니다. 심근경색은 내일이라도 병원에 가셔야합니다. 병원에 가시기 전까지 보호자와 동행하시되, 보호자는 심장마비가 발생할 경우를 대비해 심폐소생술을 할 줄 알아야합니다.",1
가슴이 벌어지는 것 처럼 아파요,"심근경색증으로 보입니다. 심근경색은 내일이라도 병원에 가셔야합니다. 병원에 가시기 전까지 보호자와 동행하시되, 보호자는 심장마비가 발생할 경우를 대비해 심폐소생술을 할 줄 알아야합니다.",1
배가 전체가 계속 아프고 속이 쓰려요.,"과민성 장 증후군으로 보입니다. 단독 치료법은 없지만, 규칙적인 식사와 적당한 휴식이 필요합니다. 특히 자극적인 음식은 드시면 안되며, 과식도 금합니다. 식이섬유가 풍부한 음식을 추천드립니다.",1
"배 전체가 부푼 것 같고, 불편해요.","과민성 장 증후군으로 보입니다. 배가 부푼것 같은 복부 팽만이 있으시다면, 가스 생성 식품은 피하셔야합니다. 특히, 소화제도 가스를 생성하는 소화제는 피하셔야 합니다.",1
배가 전부가 계속 아프고 속이 쓰려요.,"과민성 장 증후군으로 보입니다. 단독 치료법은 없지만, 규칙적인 식사와 적당한 휴식이 필요합니다. 특히 자극적인 음식은 드시면 안되며, 과식도 금합니다. 식이섬유가 풍부한 음식을 추천드립니다.",1
"배 위쪽을 누가 누르는 것 같고, 메스껍고, 가슴이 답답해요.","표층성 위염이에요. 소화성 궤양과 비슷한 증상이에요. 집에 위산 억제제나 위장 점막 보호제가 있다면 우선 복용하시는 것을 추천해드리며, 자극적인 음식 카페인, 흡연, 음주는 금합니다. 증상 완화가 잘 안된다면, 병원에가시는 것을 추천드립니다.",1
"배 위쪽이 무겁게 눌리는 느낌이고, 속이 안좋고 답답해요.","표층성 위염이에요. 소화성 궤양과 비슷한 증상이에요. 집에 위산 억제제나 위장 점막 보호제가 있다면 우선 복용하시는 것을 추천해드리며, 자극적인 음식, 카페인, 흡연, 음주는 금합니다. 증상 완화가 잘 안된다면, 병원에가시는 것을 추천드립니다.",1
